observed_on,time_observed_at,quality_grade,latitude,longitude,positional_accuracy,private_latitude,private_longitude,public_positional_accuracy,scientific_name,common_name
2011-06-11,,research,38.570793681,-122.69282341,,,,,Hypsiglena ochrorhynchus nuchalata,California Nightsnake
2011-06-19,,research,36.9662493612,-121.8704795837,105,,,105,Mephitis mephitis,Striped Skunk
2011-05-07,,research,38.5865852781,-121.4766454697,,,,,Contia tenuis,Sharp-tailed Snake
2011-06-22,,research,38.6026517689,-121.4734697342,,,,,Charadrius vociferus,Killdeer
2011-09-13,,research,37.427638109,-122.2319984436,,,,,Pituophis catenifer catenifer,Pacific Gopher Snake
2011-11-25,,research,36.3852563476,-119.2458629608,,,,,Bubo virginianus,Great Horned Owl
2011-12-03,,research,38.5707265752,-122.6925766468,,,,,Coluber constrictor mormon,Western Yellow-bellied Racer
2012-04-22,,research,38.4234972635,-122.7078744722,,,,,Didelphis virginiana,Virginia Opossum
2012-04-14,,research,38.4368692,-122.7010754,1250,,,1250,Sciurus griseus,Western Gray Squirrel
2012-05-02,,research,38.5664817937,-122.6841277275,,,,,Lepus californicus,Black-tailed Jackrabbit
2012-05-20,2012-05-20 19:46:00 UTC,research,38.440963,-122.65239,30,,,30,Mephitis mephitis,Striped Skunk
2012-05-21,2012-05-22 03:21:48 UTC,research,38.71597,-123.055757,683,,,683,Crotalus oreganus oreganus,Northern Pacific Rattlesnake
2012-06-22,,research,38.5670626975,-122.6842135582,,,,,Colaptes auratus,Northern Flicker
2012-07-02,,research,37.8273833984,-122.2855597774,,,,,Rattus norvegicus,Brown Rat
2012-07-05,2012-07-06 01:21:09 UTC,research,38.3747030446,-122.9071401925,,,,,Neogale frenata,Long-tailed Weasel
2012-06-24,,research,38.5526666667,-121.4278333333,,,,,Mephitis mephitis,Striped Skunk
2012-08-04,2012-08-04 21:59:58 UTC,research,38.425307,-122.826569,9,,,9,Neogale vison,American Mink
2012-08-06,,research,36.5542431659,-118.7504579487,,,,,Tamiasciurus douglasii,Douglas' Squirrel
2012-08-05,,research,34.0736305498,-115.1285655554,,,,,Crotalus cerastes,Sidewinder
2012-09-21,,research,37.5142932,-122.4943791,1873,,,1873,Mephitis mephitis,Striped Skunk
2011-01-09,,research,37.3213992561,-122.4012906603,,,,,Tyto furcata,American Barn Owl
2012-10-14,,research,37.2602552046,-122.413349453,,,,,Procyon lotor,Common Raccoon
2012-10-15,,research,37.5099668163,-122.3447203802,,,,,Mephitis mephitis,Striped Skunk
2012-10-18,,research,37.5452834266,-122.0695544641,,,,,Procyon lotor,Common Raccoon
2012-10-26,2012-10-26 17:30:23 UTC,research,38.569915,-122.688682,47,,,47,Pituophis catenifer,Gopher Snake
2012-11-14,,research,37.4911841197,-122.3227840652,,,,,Procyon lotor,Common Raccoon
2012-11-10,2012-11-10 16:38:41 UTC,research,38.087317,-122.812621,,,,,Lynx rufus,Bobcat
2012-12-09,,research,34.4251600281,-119.5255208015,,,,,Thomomys bottae,Botta's Pocket Gopher
2013-01-23,2013-01-23 16:38:21 UTC,research,33.771881,-118.118706,30,,,30,Procyon lotor,Common Raccoon
2013-01-23,2013-01-23 16:46:49 UTC,research,33.753512,-118.106615,30,,,30,Procyon lotor,Common Raccoon
2013-01-22,,research,37.4829433108,-122.3148018112,,,,,Mephitis mephitis,Striped Skunk
1999-04-18,,research,39.6310437181,-121.9313764572,,,,,Bassariscus astutus,Ringtail
2013-02-18,2013-02-19 01:19:06 UTC,research,35.73358484,-119.5999643,10,,,10,Tyto furcata,American Barn Owl
2011-05-13,2011-05-13 20:18:21 UTC,research,33.3638333333,-117.1645,,,,,Neogale frenata,Long-tailed Weasel
2013-04-22,,research,37.1379866277,-122.2702789307,,,,,Sus scrofa,Eurasian Wild Pig
2013-05-06,2013-05-07 01:23:43 UTC,research,37.373802,-122.084647,8,,,8,Thomomys bottae,Botta's Pocket Gopher
2013-05-17,2013-05-17 18:37:17 UTC,research,33.621376,-117.932597,5,,,5,Procyon lotor,Common Raccoon
2013-05-18,2013-05-18 21:28:22 UTC,research,37.4918333333,-122.3868333333,,,,,Urocyon cinereoargenteus,Gray Fox
2012-09-13,2012-09-14 00:23:18 UTC,research,33.4703333333,-117.0125,,,,,Lampropeltis californiae,California King Snake
2013-06-20,2013-06-20 23:05:31 UTC,research,34.01184,-118.093088,5,,,5,Otospermophilus beecheyi,California Ground Squirrel
2013-06-24,2013-06-24 16:07:23 UTC,research,37.8601666667,-122.2443333333,,,,,Mephitis mephitis,Striped Skunk
2013-06-28,2013-06-28 15:43:46 UTC,research,34.0736267483,-118.2313742303,5,,,5,Mephitis mephitis,Striped Skunk
2013-06-28,2013-06-28 20:02:20 UTC,research,32.789,-116.4975,,,,,Masticophis lateralis,Striped Racer
2013-07-12,2013-07-12 07:30:21 UTC,research,32.6758333333,-115.7893333333,,,,,Masticophis flagellum,Coachwhip
2013-07-15,,research,37.090625,-121.468368,229,,,229,Lampropeltis californiae,California King Snake
2010-04-17,,research,34.909116,-115.769141,28493,,,28493,Masticophis flagellum,Coachwhip
2009-04-21,,research,33.255872,-116.375012,12448,,,12448,Coleonyx variegatus variegatus,Desert Banded Gecko
2013-07-26,2013-07-26 20:20:25 UTC,research,38.3383333333,-119.778,,,,,Sciurus griseus,Western Gray Squirrel
2013-07-29,2013-07-30 03:52:54 UTC,research,37.8713333333,-119.3606666667,,,,,Lepus townsendii townsendii,Western White-tailed Jackrabbit
2013-08-03,2013-08-03 14:11:15 UTC,research,32.6198581,-116.1905479,452,,,452,Lepus californicus,Black-tailed Jackrabbit
2013-09-01,,research,39.39766,-122.960406,25,,,25,Neotamias sonomae,Sonoma Chipmunk
2013-09-11,2013-09-12 01:26:41 UTC,research,37.1603333333,-122.3575,,,,,Odocoileus hemionus columbianus,Columbian Black-tailed Deer
2013-09-11,2013-09-12 01:37:56 UTC,research,37.2635,-122.4125,,,,,Procyon lotor,Common Raccoon
